gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Sergeant of Police,"","{Hospitalized,Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,2500.00
M,Hispanic,Police Officer,"","{Hospitalized,Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,2500.00
M,Hispanic,Police Officer,"","{Hospitalized,Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,2500.00
M,White,Lieutenant of Police,"","{Hospitalized,Weapons charges,Drug charges}","{Destroy/conceal/fabricate evidence,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,2500.00
M,Black,Sergeant of Police,{Traffic stop},{Other charges filed},{False arrest or report},"",False arrest,30000.00
M,White,Police Officer,{Stop and frisk},"","{Threats/intimidation,Illegal search/seizure,False arrest or report}",{Gun},Illegal search/seizure,33000.00
M,White,Police Officer / Field Training Officer,{Stop and frisk},"","{Threats/intimidation,Illegal search/seizure,False arrest or report}",{Gun},Illegal search/seizure,33000.00
M,Hispanic,Police Officer / Field Training Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,5500.00
M,Black,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,5500.00
M,Hispanic,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,5500.00
M,Hispanic,Police Officer,{Stop and frisk},{Other charges filed},{False arrest or report},"",False arrest,5500.00
M,Hispanic,Police Officer as Detective,"",{Other charges filed},"{Excessive force,Shooting,False arrest or report}",{Gun},Excessive force/serious,134001.00
M,White,Police Officer,{Stop and frisk},"{Resisting or obstructing arrest charges,Weapons charges,Hospitalized,Other charges filed}","{Threats/intimidation,Excessive force,False arrest or report}","{Physical force,Gun}",Excessive force/minor,6000.00
M,Hispanic,Police Officer,{Stop and frisk},"{Resisting or obstructing arrest charges,Weapons charges,Hospitalized,Other charges filed}","{Threats/intimidation,Excessive force,False arrest or report}","{Physical force,Gun}",Excessive force/minor,6000.00
M,Hispanic,Sergeant of Police,{Stop and frisk},"{Resisting or obstructing arrest charges,Weapons charges,Hospitalized,Other charges filed}","{Threats/intimidation,Excessive force,False arrest or report}","{Physical force,Gun}",Excessive force/minor,6000.00
M,White,Police Officer,{Stop and frisk},"{Resisting or obstructing arrest charges,Weapons charges,Hospitalized,Other charges filed}","{Threats/intimidation,Excessive force,False arrest or report}","{Physical force,Gun}",Excessive force/minor,6000.00
M,Hispanic,Police Officer,{Stop and frisk},"{Resisting or obstructing arrest charges,Weapons charges,Hospitalized,Other charges filed}","{Threats/intimidation,Excessive force,False arrest or report}","{Physical force,Gun}",Excessive force/minor,6000.00
